# DatalystLM Question Seed File
# Format: question_text|topic|subtopic|difficulty|keywords|ideal_answer_primary|ideal_answer_supporting_1
# Lines starting with # are ignored. Pipe | is the delimiter — do not use | inside answers.

# ── Machine Learning ──────────────────────────────────────────────────────────

Your model performs well on training data but breaks down on real-world data that contains outliers. Walk me through three concrete strategies you would use to make it more robust.|ML|FEATURE_ENGINEERING|MEDIUM|outliers;robust loss;Huber loss;winsorization;tree-based models;log transform;RobustScaler;MAE|Tree-based models like Random Forest and Gradient Boosting partition on ranked order rather than raw values, making them inherently resistant to outliers -- unlike linear models whose coefficients get pulled by extremes. When you need linear models, transform the features: winsorization caps values beyond a percentile threshold, log transforms compress right-skewed tails, and RobustScaler standardizes using median and IQR instead of mean and standard deviation. For the loss function, swap MSE for MAE or Huber loss -- Huber behaves like MSE for small errors and like MAE for large ones, reducing the gradient contribution of extreme points without discarding them entirely.|Before treating outliers, investigate them -- a very large transaction in a fraud dataset may be genuine signal rather than noise. Use IQR-based rules or Isolation Forest to identify outliers algorithmically, then decide whether to remove, cap, or transform. Removing outliers outright is a last resort that risks discarding real variance; transformation or robust algorithms are generally preferable.

Describe the motivation behind Random Forest and give me two specific reasons why it tends to outperform a single decision tree.|ML|SUPERVISED_LEARNING|MEDIUM|random forest;ensemble;bagging;bootstrap;decorrelation;variance reduction;feature randomness;overfitting|A single deep decision tree has high variance -- it memorizes the training set and generalizes poorly. Random Forest reduces this by training many trees on different bootstrap samples of the data and averaging their predictions, a technique called bagging. First, averaging many independently noisy but roughly unbiased models cancels out individual errors, dramatically reducing variance without much increase in bias. Second, each split considers only a random subset of features, which decorrelates the trees -- if one dominant feature would drive all trees toward the same splits, randomizing feature subsets ensures the ensemble captures diverse patterns.|The ensemble intuition is similar to polling many independent experts -- each may be wrong, but their average is more reliable than any individual. Random Forest is robust to hyperparameter choices, handles missing data reasonably well, and produces feature importance scores as a byproduct of training. It tends to underperform gradient boosting on structured tabular data but is faster to train in parallel since trees are independent and requires less tuning to avoid overfitting.

Explain L1 and L2 regularization. What is the practical difference between them and when would you choose one over the other?|ML|MODEL_EVALUATION|MEDIUM|L1;L2;Lasso;Ridge;regularization;overfitting;sparsity;feature selection;penalty;lambda|Regularization adds a penalty term to the loss function to discourage large weights and reduce overfitting. L2 adds the sum of squared weights scaled by lambda, which shrinks all weights toward zero proportionally but rarely zeroes any out exactly. L1 adds the sum of absolute weight values, which tends to drive some weights to exactly zero, performing implicit feature selection by eliminating irrelevant inputs. Choose L2 when all features are plausibly useful and you want smooth shrinkage; choose L1 when you suspect many features are irrelevant and want a sparse, more interpretable model.|Geometrically, L2 has a circular constraint that intersects the loss contour at a point with small but nonzero weights, while L1 has a diamond constraint whose corners sit at zero coordinates -- that is why L1 zeroes weights. Elastic Net combines both penalties and handles correlated features better: L1 alone arbitrarily picks one of a correlated group, while Elastic Net can retain multiple. Lambda controls regularization strength and is selected via cross-validation. Both penalties apply broadly: linear models, neural networks, SVMs, and many other families support them.

Walk me through the bias-variance tradeoff. How does it shape model selection decisions in practice?|ML|MODEL_EVALUATION|MEDIUM|bias;variance;tradeoff;underfitting;overfitting;model complexity;regularization;ensemble;cross-validation;error decomposition|Bias measures how far a model's average predictions are from the true values -- a high-bias model underfits by making oversimplified assumptions and misses real patterns. Variance measures how much predictions change across different training sets -- a high-variance model overfits by being too sensitive to the noise in whichever training set it saw. As model complexity increases, bias falls but variance rises. Total expected prediction error decomposes into bias squared plus variance plus irreducible noise; the goal is finding the complexity that minimizes this total, typically estimated using cross-validation on a held-out set.|Simple models like linear regression carry high bias and low variance; deep decision trees have low bias but high variance. Regularization reduces variance at the cost of a slight bias increase. Bagging primarily reduces variance; boosting primarily reduces bias. A large gap between training accuracy and validation accuracy is the fingerprint of high variance -- the model is fitting noise. Increasing training data usually reduces variance without significantly changing bias, which is why more data often solves overfitting better than architectural changes alone.

Real-world datasets almost always have missing values. Walk me through three strategies you would consider and how you would decide which to use.|ML|FEATURE_ENGINEERING|EASY|missing data;imputation;mean imputation;KNN imputation;multiple imputation;MCAR;MAR;MNAR;indicator variable;deletion|First understand why data is missing -- whether it is missing completely at random, missing at random conditional on other observed variables, or missing not at random -- because the mechanism determines what treatment is appropriate. Simple mean or median imputation fills gaps with the column central tendency and works for MCAR data with low missingness, but introduces bias if missingness is systematic. Model-based methods like KNN imputation use other features to predict missing values, preserving relationships in the data. Adding a binary indicator column flagging whether a value was missing is complementary and lets the model learn whether absence is itself predictive.|Deletion -- dropping rows or columns -- is appropriate when missingness is rare and truly random, but risks losing important information otherwise. Always fit imputation parameters on training data only and apply to both train and test sets; fitting on all data leaks test-set statistics. For time series, forward or backward fill preserves temporal structure better than global imputation. When more than 40 to 50 percent of a column is missing, any imputation makes strong assumptions and you may need to revisit data collection upstream.

